,id,startTime,endTime,downtime,orderStart,orderEnd,stopUpdatedTime,stopUpdatedBy,categoryName,causeOne,causeTwo,causeThree,causeFour,causeFive,childDeviceName,deviceName,shiftName,shiftStartTime,shiftEndTime,deviceDataId,orderId,mainStopId,skuName,comment,reasonOne,reasonTwo,Status
128,128,,,16181,03/09/2024 15:00:01,03/09/2024 22:59:45,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,532,,undefined,,,,
129,129,,,70811,03/10/2024 00:00:06,03/10/2024 23:59:58,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,533,,undefined,,,,
130,130,,,18482,03/10/2024 07:00:09,03/10/2024 14:59:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,534,,undefined,,,,
131,131,,,21004,03/10/2024 15:00:13,03/10/2024 22:59:57,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,535,,undefined,,,,
132,132,,,10362,03/11/2024 00:00:18,03/11/2024 06:59:41,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,536,,undefined,,,,
133,133,,,21525,03/11/2024 07:00:01,03/11/2024 14:59:46,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,537,,undefined,,,,
134,134,,,1780,03/11/2024 15:00:06,03/11/2024 15:31:46,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,538,,undefined,,,,
135,135,,,100,03/11/2024 15:32:06,03/11/2024 15:34:06,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,539,,PET (400),,,,
136,136,,,19284,03/11/2024 15:34:26,03/11/2024 22:59:50,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,540,,PET (400),,,,
137,137,03/11/2024 23:53:10,03/11/2024 23:52:30,3220,03/11/2024 23:00:10,03/11/2024 23:59:50,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,541,,PET (400),,,,
138,138,03/12/2024 23:02:42,03/12/2024 23:28:02,17003,03/12/2024 00:00:10,03/12/2024 23:59:42,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,542,,PET (400),,,,
